attendance Gender
85 1
100 0
66 1
2 0
75 1
95 1
40 1
100 0
90 0
95 0
100 0
100 1
90 0
70 0
75 1
70 1
100 1
70 1
100 1
100 1
99 1
95 1
75 1
100 1
100 1
90 1
40 1
50 1
95 1
99 1
100 0
60 1
90 1
90 0
80 1
75 0
100 1
50 1
100 1
95 1
98 1
98 1
50 1
75 1
100 1
100 1
100 1
95 1
100 1
90 0
80 1
99 1
50 0
90 1
80 1
80 0
60 0
80 1
87 1
80 1
90 1
100 1
100 1
100 1
95 1
60 1
90 0
97 1
97 1
97 0
100 0
90 0
85 0
80 1
100 0
100 1
90 0
100 0
98 1
99 0
100 1
100 1
80 1
100 1
95 1
100 0
90 0
95 0
99 0
95 1
100 0
98 1
25 1
100 0
100 1
