Divergence Rotational_velocity Hail_size
26 14 175
24 8 175
40 11 150
24 10 175
29 16 350
38 19 100
28 14 150
48 17 100
22 11 175
61 24 300
76 23 400
42 19 100
25 13 100
34 12 175
33 18 175
72 28 275
38 21 275
30 23 150
49 16 175
42 26 175
21 15 75
25 7 75
43 14 275
68 21 175
71 21 175
41 12 75
40 20 100
45 12 175
39 31 275
43 22 100
27 16 125
69 25 275
42 11 175
34 10 100
59 7 275
36 14 75
56 25 175
36 12 400
69 18 175
29 18 175
48 28 175
78 34 300
54 31 275
45 31 100
28 10 150
69 25 400
38 11 100
33 16 75
44 13 200
55 18 175
68 19 175
59 12 275
48 14 275
33 14 350
32 19 350
61 22 275
70 21 350
60 24 275
24 16 175
29 8 100
31 7 100
34 20 300
38 16 275
34 18 250
48 15 300
36 11 250
30 9 175
39 16 100
78 33 450
21 16 75
32 17 200
25 9 100
29 7 175
21 14 75
40 5 175
25 15 300
34 14 175
28 16 75
32 13 100
52 10 100
23 11 175
26 9 75
53 16 175
32 9 88
27 12 100
46 20 100
48 11 88
28 7 150
43 16 75
58 16 175
32 10 100
51 19 100
51 18 100
58 21 175
48 15 100
50 14 175
33 14 175
20 19 75
40 14 75
22 16 88
21 13 75
31 9 75
51 24 300
37 20 275
57 26 300
64 27 275
34 20 200
55 24 100
20 11 75
25 7 88
48 16 275
85 33 450
65 13 175
37 9 175
48 10 175
58 21 175
45 15 100
37 10 175
35 11 125
45 11 100
29 19 100
49 12 75
55 25 175
49 22 75
50 17 125
27 11 175
27 9 175
24 20 175
20 13 100
45 14 125
32 20 250
28 15 100
23 8 100
36 22 175
33 19 175
32 19 100
20 11 100
30 10 100
22 18 100
38 16 100
28 13 75
73 18 175
25 11 88
33 14 75
57 21 175
40 17 250
33 14 75
27 22 275
38 13 175
22 7 88
45 31 450
23 5 88
26 10 75
28 9 100
31 12 100
25 10 88
27 24 175
44 32 200
45 28 450
23 12 88
22 19 175
24 14 75
24 15 75
37 16 75
44 13 175
29 12 100
39 21 175
27 11 100
47 25 175
52 19 275
37 21 175
46 21 175
32 20 175
43 13 275
31 15 75
34 16 175
26 23 100
24 11 75
29 16 75
55 30 275
27 24 75
23 19 75
40 19 175
52 19 300
53 22 275
21 10 75
47 22 175
26 11 100
31 16 75
29 22 200
38 16 100
43 18 400
23 17 75
36 8 75
49 28 275
28 16 175
49 29 275
31 17 88
51 33 450
31 20 275
44 22 175
50 26 275
24 7 175
27 17 275
41 10 75
22 8 100
26 15 175
30 11 75
26 17 200
38 25 175
20 8 100
29 18 175
33 14 88
21 12 75
27 11 75
23 10 175
23 12 100
37 20 175
31 13 100
38 9 100
36 16 175
27 13 75
22 22 100
36 18 175
22 13 75
56 17 100
43 13 275
37 14 175
44 7 75
52 11 175
50 14 175
28 11 175
48 14 75
47 20 150
47 17 175
29 6 100
40 8 100
42 12 75
24 7 100
21 8 75
36 10 88
23 10 275
25 10 75
30 10 75
23 6 75
53 22 175
56 20 450
24 21 275
35 16 175
31 14 175
41 16 200
29 20 75
55 24 275
42 10 175
38 17 175
29 15 175
24 13 75
80 27 400
22 12 88
35 14 88
23 16 75
25 16 150
21 8 125
24 16 175
23 7 75
48 19 150
21 8 88
37 21 75
27 9 175
39 15 100
32 19 175
24 18 175
39 12 75
21 11 88
45 13 150
47 23 150
22 6 88
32 7 75
35 13 100
27 13 75
36 14 100
33 9 75
