Period:,2013-10-09,2013-10-12
Number of visits during this period:,197
Procedure,Fee,Quantity,Total:
1577 Boarding per night,18.99,47,892.53
1865 X-Ray,25.0,25,625.0
2718 Checkup,55.0,34,1870.0
2916 Surgery type 3,450.99,24,10823.76
3718 Worming,10.0,28,280.0
5935 Nail or claw clipping,8.0,23,184.0
6313 Anesthesia,40.0,14,560.0
6800 Blood test type 3,50.75,20,1015.0
7010 Surgery type 2,200.35,19,3806.65
7452 Surgery type 1,110.5,38,4199.0
7810 Blood test type 12,25.0,21,525.0
8317 Neutering,50.0,24,1200.0
8401 Blood test type 1,15.0,31,465.0
8554 Spaying,75.0,25,1875.0
Total:,,,28320.940000000002
